base_cardName,index,base_displayName,base_cardClass,base_description,base_price,base_cardWeight,base_maxStack,site_area,npc_schedule,food_HP
site17,58,气象站,site,监测外星气候的站点。,0,0,1,90,0,0
site18,59,天文台,site,配备大型望远镜的天文观测站。,0,0,1,100,0,0
site19,60,植物园,site,种植植物的生态园区，提供氧气。,0,0,1,120,0,0
site20,61,动物区,site,饲养与研究外星动物的区域。,0,0,1,90,0,0
site21,62,工业区,site,工厂与生产设备集中区域。,0,0,1,150,0,0
site22,63,居住区,site,船员宿舍与生活设施。,0,0,1,120,0,0

# ==================== 食物/消耗品 (45-46) ====================
Zero-gravity_coffee,45,零重力咖啡,food,无重力环境也能享用的热咖啡。,20,1,50,0,0,10
Nano_Repair_Spray,46,纳米修复喷雾,food,快速修复机械故障的纳米技术喷雾。,50,2,20,0,0,25

# ==================== NPC 卡牌 (55-59, 80-99) ====================
npc_1,55,艾琳·科瓦尔斯基,npc,冷静沉着的舰长，擅长处理深空危机。,0,10,1,0,0,0
npc_2,56,马克·雷诺兹,npc,经验丰富的矿场老板，脾气火爆但资源多。,0,10,1,0,0,0
npc_3,57,安娜·帕特尔,npc,首席生物学家，外星微生物研究专家。,0,8,1,0,0,0
npc_4,58,维克多·张,npc,天才程序员，维护飞船 AI 系统。,0,8,1,0,0,0
npc_5,59,索菲亚·伊布拉希莫娃,npc,天体物理学家，专注黑洞与暗物质研究。,0,8,1,0,0,0
npc_6,80,詹姆斯·威尔逊,npc,老矿工，对各种矿石了如指掌。,0,5,1,0,0,0
npc_7,81,艾米丽·陈,npc,太空站厨师，擅长制作外星美食。,0,5,1,0,0,0
npc_8,82,大卫·李,npc,飞船工程师，负责设备维护修理。,0,5,1,0,0,0
npc_9,83,莎拉·约翰逊,npc,勇敢的探险家，探索过众多未知星球。,0,6,1,0,0,0
npc_10,84,迈克尔·布朗,npc,安保队长，维护太空站秩序与安全。,0,5,1,0,0,0
npc_11,85,丽贝卡·马丁,npc,科学家，研究外星生命与生态系统。,0,6,1,0,0,0
npc_12,86,托马斯·王,npc,导航员，熟悉星际航线与天体位置。,0,5,1,0,0,0
npc_13,87,杰西卡·戴维斯,npc,贸易商，擅长买卖稀有物品。,0,5,1,0,0,0
npc_14,88,克里斯托弗·艾伦,npc,医生，负责船员健康与医疗。,0,5,1,0,0,0
npc_15,89,伊丽莎白·泰勒,npc,外交官，负责与外星种族交流。,0,6,1,0,0,0
npc_16,90,亚历山大·科恩,npc,考古学家，研究古代文明与遗迹。,0,6,1,0,0,0
npc_17,91,奥利维亚·帕克,npc,程序员，开发维护飞船软件系统。,0,5,1,0,0,0
npc_18,92,本杰明·赖特,npc,武器专家，设计制造各种武器。,0,6,1,0,0,0
npc_19,93,索菲亚·金,npc,音乐家，为船员带来娱乐与放松。,0,3,1,0,0,0
npc_20,94,丹尼尔·赵,npc,农民，在太空站种植各种植物。,0,3,1,0,0,0
npc_21,95,维多利亚·桑切斯,npc,记者，记录报道太空探索新闻。,0,4,1,0,0,0
npc_22,96,威廉·克拉克,npc,摄影师，拍摄太空与外星世界美景。,0,4,1,0,0,0
npc_23,97,伊莎贝拉·罗德里格斯,npc,设计师，设计飞船与太空站外观。,0,5,1,0,0,0
npc_24,98,约瑟夫·刘,npc,律师，处理太空法律与合同事务。,0,5,1,0,0,0
npc_25,99,娜塔莉·汤普森,npc,气象学家，研究外星气候与天气。,0,4,1,0,0,0

# ==================== 伤害卡牌 (100-199) ====================
# --- T1: 基础攻击 (1-3 伤害) ---
Damage_1,100,轻击,damage,造成 2 点基础伤害。,30,1,9999,0,0,0
Damage_2,101,重击,damage,造成 4 点伤害。,60,1,9999,0,0,0
Damage_3,102,猛击,damage,造成 6 点伤害。,100,2,500,0,0,0
Damage_4,103,强击,damage,造成 8 点伤害。,150,2,500,0,0,0
Damage_5,104,暴击,damage,造成 10 点伤害。,200,3,200,0,0,0

# --- T2: 元素攻击 (附带特效) ---
Damage_6,105,火焰斩,damage,造成 5 点伤害，附带 2 点灼烧 (3 回合)。,200,3,100,0,0,0
Damage_7,106,冰霜击,damage,造成 5 点伤害，目标下回合行动 -1。,200,3,100,0,0,0
Damage_8,107,雷电击,damage,造成 6 点伤害，50% 概率麻痹 1 回合。,250,3,100,0,0,0
Damage_9,108,毒素镖,damage,造成 4 点伤害，附带 3 点中毒 (5 回合)。,220,3,100,0,0,0
Damage_10,109,暗影刺,damage,造成 7 点伤害，无视 20% 防御。,280,4,100,0,0,0
Damage_11,110,神圣击,damage,造成 6 点伤害，对黑暗系 +50% 伤害。,260,4,100,0,0,0
Damage_12,111,物理穿透,damage,造成 8 点伤害，无视护盾。,300,4,100,0,0,0
Damage_13,112,魔法爆破,damage,造成 9 点伤害，消耗 2 点能量。,350,4,100,0,0,0
Damage_14,113,精神冲击,damage,造成 7 点伤害，降低目标命中率。,320,4,100,0,0,0
Damage_15,114,声波震,damage,造成 6 点伤害，打断目标施法。,300,4,100,0,0,0

# --- T3: 范围攻击 ---
Damage_16,115,火焰风暴,damage,对所有敌人造成 3 点伤害。,400,5,50,0,0,0
Damage_17,116,冰霜新星,damage,对所有敌人造成 3 点伤害并减速。,450,5,50,0,0,0
Damage_18,117,雷电链,damage,对 3 个目标造成 4 点伤害。,500,5,50,0,0,0
Damage_19,118,毒雾弥漫,damage,对所有敌人造成 2 点伤害并中毒。,480,5,50,0,0,0
Damage_20,119,地震波,damage,对所有敌人造成 4 点伤害。,550,5,50,0,0,0
Damage_21,120,陨石雨,damage,对随机 3 个目标造成 5 点伤害。,600,5,50,0,0,0

# --- T4: 强力单卡 ---
Damage_22,121,陨石术,damage,造成 12 点伤害，下回合无法行动。,800,10,10,0,0,0
Damage_23,122,黑洞牵引,damage,造成 8 点伤害，抽取目标 2 点能量。,1000,10,10,0,0,0
Damage_24,123,圣光制裁,damage,造成 10 点伤害，对黑暗系 +50%。,1200,10,10,0,0,0
Damage_25,124,暗影收割,damage,造成 11 点伤害，恢复自身 5 点生命。,1300,10,10,0,0,0
Damage_26,125,元素爆发,damage,造成 14 点伤害，随机附加元素效果。,1500,10,10,0,0,0
Damage_27,126,混沌能量,damage,造成 8-16 点随机伤害。,1400,10,10,0,0,0
Damage_28,127,精准狙击,damage,造成 15 点伤害，必定命中要害。,1600,10,10,0,0,0
Damage_29,128,野蛮冲撞,damage,造成 13 点伤害，击退目标。,1400,10,10,0,0,0
Damage_30,129,致命一击,damage,造成 18 点伤害，30% 概率秒杀低生命目标。,1800,10,10,0,0,0
Damage_31,130,连环斩,damage,造成 3 次 5 点伤害。,1500,10,10,0,0,0

# --- T5: 传说卡牌 (卡组核心) ---
Damage_32,131,超新星爆发,damage,对所有敌人造成 8 点伤害，使用后移除本卡。,3000,50,1,0,0,0
Damage_33,132,时空裂痕,damage,造成 15 点伤害，跳过目标下回合。,5000,50,1,0,0,0
Damage_34,133,维度冲击,damage,造成 20 点伤害，无视所有防御。,6000,50,1,0,0,0
Damage_35,134,世界末日,damage,对所有敌人造成 12 点伤害，使用后游戏结束。,10000,50,1,0,0,0
Damage_36,135,生命汲取,damage,造成 10 点伤害，100% 转化为自身生命。,4000,50,1,0,0,0
Damage_37,136,能量虹吸,damage,造成 8 点伤害，抽取目标所有能量。,4500,50,1,0,0,0
Damage_38,137,灵魂收割,damage,造成 12 点伤害，目标死亡时额外抽 1 张卡。,5500,50,1,0,0,0
Damage_39,138,精神控制,damage,造成 5 点伤害，临时控制目标 1 回合。,7000,50,1,0,0,0
Damage_40,139,太阳耀斑,damage,对所有敌人造成 10 点伤害，附带灼烧。,8000,50,1,0,0,0
Damage_41,140,月球引力,damage,造成 12 点伤害，降低目标 50% 攻击力。,6500,50,1,0,0,0

# --- 特殊伤害卡 (141-199) ---
Damage_42,141,星尘风暴,damage,对所有敌人造成 6 点伤害，抽 2 张卡。,4000,20,5,0,0,0
Damage_43,142,量子波动,damage,造成 10 点伤害，50% 概率翻倍。,3500,20,5,0,0,0
Damage_44,143,重力井,damage,造成 8 点伤害，目标无法撤退。,3000,20,5,0,0,0
Damage_45,144,腐蚀术,damage,造成 6 点伤害，降低目标 20% 防御 (永久)。,2500,20,5,0,0,0
Damage_46,145,神圣审判,damage,造成 14 点伤害，对邪恶阵营 +100%。,4500,20,5,0,0,0
Damage_47,146,暗影之触,damage,造成 11 点伤害，使目标陷入恐惧。,4000,20,5,0,0,0
Damage_48,147,元素箭,damage,造成 9 点伤害，随机附加火/冰/电效果。,2800,20,5,0,0,0
Damage_49,148,心灵冲击,damage,造成 10 点伤害，混乱目标 1 回合。,3500,20,5,0,0,0
Damage_50,149,等离子炮,damage,造成 16 点伤害，需要 1 回合充能。,4000,20,5,0,0,0
Damage_51,150,激光束,damage,造成 12 点伤害，必定命中。,3200,20,5,0,0,0

# --- 高阶伤害卡 (151-199) ---
Damage_52,151,导弹齐射,damage,对随机目标造成 5 次 4 点伤害。,3000,15,10,0,0,0
Damage_53,152,轨道轰炸,damage,对所有敌人造成 7 点伤害。,4500,15,10,0,0,0
Damage_54,153,闪电链·改,damage,对 5 个目标造成 5 点伤害。,3800,15,10,0,0,0
Damage_55,154,火焰领域,damage,每回合对所有敌人造成 3 点伤害 (持续 3 回合)。,4000,15,10,0,0,0
Damage_56,155,冰霜结界,damage,造成 5 点伤害，冻结所有敌人 1 回合。,4200,15,10,0,0,0
Damage_57,156,毒素蔓延,damage,对所有敌人造成 4 点伤害并中毒 (5 回合)。,3500,15,10,0,0,0
Damage_58,157,圣光普照,damage,对所有敌人造成 6 点伤害，恢复友方 5 点生命。,4800,15,10,0,0,0
Damage_59,158,暗影帷幕,damage,对所有敌人造成 5 点伤害，降低命中率。,4000,15,10,0,0,0
Damage_60,159,元素漩涡,damage,造成 10 点伤害，随机 3 种元素效果。,5000,15,10,0,0,0
Damage_61,160,混沌漩涡,damage,对所有敌人造成 5-10 点随机伤害。,5500,15,10,0,0,0

# --- 终极伤害卡 (161-199) ---
Damage_62,161,破空斩,damage,造成 20 点伤害，无视闪避。,5000,25,3,0,0,0
Damage_63,162,震荡波·极,damage,对所有敌人造成 8 点伤害并击退。,5500,25,3,0,0,0
Damage_64,163,音爆冲击,damage,造成 15 点伤害，眩晕目标 1 回合。,5200,25,3,0,0,0
Damage_65,164,熔岩洪流,damage,对所有敌人造成 9 点伤害并灼烧。,6000,25,3,0,0,0
Damage_66,165,冰晶风暴,damage,对所有敌人造成 8 点伤害并冻结。,6200,25,3,0,0,0
Damage_67,166,雷暴降临,damage,对所有敌人造成 10 点伤害并麻痹。,6500,25,3,0,0,0
Damage_68,167,酸雨腐蚀,damage,对所有敌人造成 6 点伤害，降低 30% 防御。,5800,25,3,0,0,0
Damage_69,168,神圣裁决,damage,造成 18 点伤害，对邪恶阵营秒杀。,8000,25,3,0,0,0
Damage_70,169,暗影吞噬,damage,造成 16 点伤害，永久降低目标攻击力。,7500,25,3,0,0,0
Damage_71,170,元素融合·极,damage,造成 22 点伤害，附加所有元素效果。,9000,25,3,0,0,0

# --- 传说终极卡 (171-199) ---
Damage_72,171,宇宙射线,damage,对所有敌人造成 10 点伤害，穿透护盾。,8500,30,1,0,0,0
Damage_73,172,时空扭曲,damage,造成 25 点伤害，回溯目标状态。,10000,30,1,0,0,0
Damage_74,173,维度崩溃,damage,对所有敌人造成 15 点伤害，移除所有增益。,12000,30,1,0,0,0
Damage_75,174,创世纪,damage,恢复所有生命，抽满手牌，使用后移除。,15000,30,1,0,0,0
Damage_76,175,终焉之刻,damage,对所有敌人造成 20 点伤害，游戏结束。,20000,30,1,0,0,0
Damage_77,176,神之审判,damage,造成 30 点伤害，无法被抵挡。,25000,30,1,0,0,0
Damage_78,177,虚无之门,damage,直接消灭一个目标，使用后移除。,30000,30,1,0,0,0
Damage_79,178,轮回转生,damage,复活所有友方，恢复满生命，使用后移除。,28000,30,1,0,0,0
Damage_80,179,星辰陨落,damage,对所有敌人造成 12 点伤害 (5 次)。,22000,30,1,0,0,0
Damage_81,180,混沌初开,damage,重置所有卡牌状态，重新抽牌。,35000,30,1,0,0,0

# --- 预留卡位 (181-199) ---
Damage_82,181,预留卡 1,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_83,182,预留卡 2,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_84,183,预留卡 3,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_85,184,预留卡 4,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_86,185,预留卡 5,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_87,186,预留卡 6,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_88,187,预留卡 7,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_89,188,预留卡 8,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_90,189,预留卡 9,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_91,190,预留卡 10,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_92,191,预留卡 11,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_93,192,预留卡 12,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_94,193,预留卡 13,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_95,194,预留卡 14,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_96,195,预留卡 15,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_97,196,预留卡 16,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_98,197,预留卡 17,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_99,198,预留卡 18,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
Damage_100,199,预留卡 19,damage,预留卡位，待后续扩展。,0,1,1,0,0,0
