base_cardName,index,base_displayName,base_cardClass,base_description,base_price,base_cardWeight,base_maxStack,site_area,npc_schedule,food_HP
Damage_40,139,熔岩爆发,damage,造成40点熔岩爆发伤害，来自地下的火焰攻击。,2000,1,9999,0,0,0
Damage_41,140,冰晶箭,damage,造成41点冰晶箭伤害，锋利的冰属性攻击。,2050,1,9999,0,0,0
Damage_42,141,雷暴,damage,造成42点雷暴伤害，范围性电击攻击。,2100,1,9999,0,0,0
Damage_43,142,腐蚀术,damage,造成43点腐蚀术伤害，持续腐蚀敌人。,2150,1,9999,0,0,0
Damage_44,143,神圣审判,damage,造成44点神圣审判伤害，神圣力量的裁决。,2200,1,9999,0,0,0
Damage_45,144,暗影之触,damage,造成45点暗影之触伤害，来自黑暗的触摸。,2250,1,9999,0,0,0
Damage_46,145,元素箭,damage,造成46点元素箭伤害，带有元素属性的远程攻击。,2300,1,9999,0,0,0
Damage_47,146,心灵冲击,damage,造成47点心灵冲击伤害，攻击敌人的精神。,2350,1,9999,0,0,0
Damage_48,147,重力井,damage,造成48点重力井伤害，扭曲重力的攻击。,2400,1,9999,0,0,0
Damage_49,148,太阳耀斑,damage,造成49点太阳耀斑伤害，来自太阳的能量攻击。,2450,1,9999,0,0,0
Damage_50,149,月球引力,damage,造成50点月球引力伤害，利用月球引力的攻击。,2500,1,9999,0,0,0
Damage_51,150,星尘风暴,damage,造成51点星尘风暴伤害，来自宇宙的尘埃攻击。,2550,1,9999,0,0,0
Damage_52,151,黑洞吞噬,damage,造成52点黑洞吞噬伤害，被黑洞吸入的伤害。,2600,1,9999,0,0,0
Damage_53,152,超新星爆发,damage,造成53点超新星爆发伤害，恒星爆炸的力量。,2650,1,9999,0,0,0
Damage_54,153,量子波动,damage,造成54点量子波动伤害，量子层面的攻击。,2700,1,9999,0,0,0
Damage_55,154,时空裂痕,damage,造成55点时空裂痕伤害，撕裂时空的攻击。,2750,1,9999,0,0,0
Damage_56,155,维度冲击,damage,造成56点维度冲击伤害，来自其他维度的攻击。,2800,1,9999,0,0,0
Damage_57,156,生命汲取,damage,造成57点生命汲取伤害，同时恢复自身生命值。,2850,1,9999,0,0,0
Damage_58,157,能量虹吸,damage,造成58点能量虹吸伤害，同时吸收敌人能量。,2900,1,9999,0,0,0
Damage_59,158,灵魂收割,damage,造成59点灵魂收割伤害，攻击敌人的灵魂。,2950,1,9999,0,0,0
Damage_60,159,精神控制,damage,造成60点精神控制伤害，同时控制敌人行动。,3000,1,9999,0,0,0
Damage_61,160,麻痹毒素,damage,造成61点麻痹毒素伤害，同时使敌人麻痹。,3050,1,9999,0,0,0
Damage_62,161,燃烧之油,damage,造成62点燃烧之油伤害，持续燃烧敌人。,3100,1,9999,0,0,0
Damage_63,162,冰冻陷阱,damage,造成63点冰冻陷阱伤害，同时冻结敌人。,3150,1,9999,0,0,0
Damage_64,163,电击网,damage,造成64点电击网伤害，同时麻痹敌人。,3200,1,9999,0,0,0
Damage_65,164,毒刺陷阱,damage,造成65点毒刺陷阱伤害，同时中毒敌人。,3250,1,9999,0,0,0
Damage_66,165,爆炸陷阱,damage,造成66点爆炸陷阱伤害，范围性爆炸。,3300,1,9999,0,0,0
Damage_67,166,地刺陷阱,damage,造成67点地刺陷阱伤害，从地面突刺攻击。,3350,1,9999,0,0,0
Damage_68,167,落石陷阱,damage,造成68点落石陷阱伤害，从天而降的石头攻击。,3400,1,9999,0,0,0
Damage_69,168,毒气陷阱,damage,造成69点毒气陷阱伤害，范围性毒气攻击。,3450,1,9999,0,0,0
Damage_70,169,火焰陷阱,damage,造成70点火焰陷阱伤害，范围性火焰攻击。,3500,1,9999,0,0,0
Damage_71,170,冰冻新星,damage,造成71点冰冻新星伤害，范围性冰冻攻击。,3550,1,9999,0,0,0
Damage_72,171,闪电风暴,damage,造成72点闪电风暴伤害，范围性电击攻击。,3600,1,9999,0,0,0
Damage_73,172,地震波,damage,造成73点地震波伤害，范围性震动攻击。,3650,1,9999,0,0,0
Damage_74,173,陨石雨,damage,造成74点陨石雨伤害，多个陨石攻击。,3700,1,9999,0,0,0
Damage_75,174,黑洞爆发,damage,造成75点黑洞爆发伤害，黑洞能量的释放。,3750,1,9999,0,0,0
Damage_76,175,圣光沐浴,damage,造成76点圣光沐浴伤害，神圣能量的洗礼。,3800,1,9999,0,0,0
Damage_77,176,暗影帷幕,damage,造成77点暗影帷幕伤害，黑暗能量的笼罩。,3850,1,9999,0,0,0
Damage_78,177,元素风暴,damage,造成78点元素风暴伤害，四种元素的风暴。,3900,1,9999,0,0,0
Damage_79,178,混沌爆炸,damage,造成79点混沌爆炸伤害，无序能量的爆发。,3950,1,9999,0,0,0
Damage_80,179,精准狙击,damage,造成80点精准狙击伤害，远距离致命攻击。,4000,1,9999,0,0,0
Damage_81,180,野蛮践踏,damage,造成81点野蛮践踏伤害，强力的践踏攻击。,4050,1,9999,0,0,0
Damage_82,181,致命穿刺,damage,造成82点致命穿刺伤害，贯穿敌人的攻击。,4100,1,9999,0,0,0
Damage_83,182,连环刺,damage,造成83点连环刺伤害，快速的连续穿刺。,4150,1,9999,0,0,0
Damage_84,183,旋风突刺,damage,造成84点旋风突刺伤害，旋转的穿刺攻击。,4200,1,9999,0,0,0
Damage_85,184,破空一击,damage,造成85点破空一击伤害，强力的远程斩击。,4250,1,9999,0,0,0
Damage_86,185,震荡冲击,damage,造成86点震荡冲击伤害，强力的震动攻击。,4300,1,9999,0,0,0
Damage_87,186,音波爆破,damage,造成87点音波爆破伤害，强力的声波攻击。,4350,1,9999,0,0,0
Damage_88,187,剧毒云雾,damage,造成88点剧毒云雾伤害，范围性剧毒攻击。,4400,1,9999,0,0,0
Damage_89,188,熔岩洪流,damage,造成89点熔岩洪流伤害，流动的熔岩攻击。,4450,1,9999,0,0,0
Damage_90,189,冰晶风暴,damage,造成90点冰晶风暴伤害，范围性冰晶攻击。,4500,1,9999,0,0,0
Damage_91,190,雷电连击,damage,造成91点雷电连击伤害，连续的电击攻击。,4550,1,9999,0,0,0
Damage_92,191,腐蚀酸雨,damage,造成92点腐蚀酸雨伤害，范围性腐蚀攻击。,4600,1,9999,0,0,0
Damage_93,192,神圣制裁,damage,造成93点神圣制裁伤害，神圣力量的最终审判。,4650,1,9999,0,0,0
Damage_94,193,暗影吞噬,damage,造成94点暗影吞噬伤害，黑暗能量的吞噬。,4700,1,9999,0,0,0
Damage_95,194,元素融合,damage,造成95点元素融合伤害，四种元素的融合攻击。,4750,1,9999,0,0,0
Damage_96,195,混沌之力,damage,造成96点混沌之力伤害，无序力量的全力攻击。,4800,1,9999,0,0,0
Damage_97,196,宇宙射线,damage,造成97点宇宙射线伤害，来自宇宙的高能射线。,4850,1,9999,0,0,0
Damage_98,197,时空扭曲,damage,造成98点时空扭曲伤害，扭曲时空的全力攻击。,4900,1,9999,0,0,0
Damage_99,198,维度崩溃,damage,造成99点维度崩溃伤害，来自其他维度的全力攻击。,4950,1,9999,0,0,0
Damage_100,199,世界末日,damage,造成100点世界末日伤害，毁灭性的终极攻击。,5000,1,9999,0,0,0

# NPC卡牌 (80-99)
npc_6,80,詹姆斯·威尔逊,npc,一位经验丰富的矿工，对各种矿石了如指掌。,0,0,0,0,0,0
npc_7,81,艾米丽·陈,npc,太空站的厨师，擅长制作各种外星美食。,0,0,0,0,0,0
npc_8,82,大卫·李,npc,飞船的工程师，负责维护和修理各种设备。,0,0,0,0,0,0
npc_9,83,莎拉·约翰逊,npc,一位勇敢的探险家，探索过许多未知星球。,0,0,0,0,0,0
npc_10,84,迈克尔·布朗,npc,太空站的安保队长，负责维护秩序和安全。,0,0,0,0,0,0
npc_11,85,丽贝卡·马丁,npc,一位科学家，研究外星生命和生态系统。,0,0,0,0,0,0
npc_12,86,托马斯·王,npc,飞船的导航员，熟悉星际航线和天体位置。,0,0,0,0,0,0
npc_13,87,杰西卡·戴维斯,npc,一位贸易商，擅长买卖各种稀有物品。,0,0,0,0,0,0
npc_14,88,克里斯托弗·艾伦,npc,一位医生，负责船员的健康和医疗。,0,0,0,0,0,0
npc_15,89,伊丽莎白·泰勒,npc,一位外交官，负责与外星种族的交流。,0,0,0,0,0,0
npc_16,90,亚历山大·科恩,npc,一位考古学家，研究古代文明和遗迹。,0,0,0,0,0,0
npc_17,91,奥利维亚·帕克,npc,一位程序员，开发和维护飞船的软件系统。,0,0,0,0,0,0
npc_18,92,本杰明·赖特,npc,一位武器专家，设计和制造各种武器。,0,0,0,0,0,0
npc_19,93,索菲亚·金,npc,一位音乐家，为船员带来娱乐和放松。,0,0,0,0,0,0
npc_20,94,丹尼尔·赵,npc,一位农民，在太空站种植各种植物。,0,0,0,0,0,0
npc_21,95,维多利亚·桑切斯,npc,一位记者，记录和报道太空探索的新闻。,0,0,0,0,0,0
npc_22,96,威廉·克拉克,npc,一位摄影师，拍摄太空和外星世界的美景。,0,0,0,0,0,0
npc_23,97,伊莎贝拉·罗德里格斯,npc,一位设计师，设计飞船和太空站的外观。,0,0,0,0,0,0
npc_24,98,约瑟夫·刘,npc,一位律师，处理太空法律和合同事务。,0,0,0,0,0,0
npc_25,99,娜塔莉·汤普森,npc,一位气象学家，研究外星气候和天气。,0,0,0,0,0,0

# 地区卡牌 (44-63)
site3,44,采矿区A,site,一个大型的采矿区域，有许多矿石和资源。,0,0,1,120,0,0
site4,45,采矿区B,site,一个小型的采矿区域，主要产出稀有矿石。,0,0,1,90,0,0
site5,46,太空站大厅,site,太空站的主要入口，人来人往的繁忙区域。,0,0,1,150,0,0
site6,47,太空站餐厅,site,提供各种美食的餐厅，有来自各个星球的特色菜肴。,0,0,1,100,0,0
site7,48,太空站商店,site,出售各种物品和装备的商店，货物齐全。,0,0,1,80,0,0
site8,49,太空站医疗中心,site,提供医疗服务的中心，有先进的医疗设备。,0,0,1,90,0,0
site9,50,太空站实验室,site,进行各种科学研究的实验室，设备先进。,0,0,1,100,0,0
site10,51,太空站健身房,site,供船员锻炼的健身房，有各种健身设备。,0,0,1,80,0,0
site11,52,太空站娱乐中心,site,供船员娱乐的中心，有游戏和休闲设施。,0,0,1,90,0,0
site12,53,太空站指挥中心,site,控制整个太空站的指挥中心，设备先进。,0,0,1,120,0,0
site13,54,飞船停靠区,site,停靠各种飞船的区域，有多个泊位。,0,0,1,150,0,0
site14,55,货物仓库,site,存放各种货物和资源的仓库，空间巨大。,0,0,1,120,0,0
site15,56,燃料站,site,为飞船提供燃料的站点，有大型燃料罐。,0,0,1,100,0,0
site16,57,通信中心,site,负责与其他太空站和地球通信的中心。,0,0,1,80,0,0
site17,58,气象站,site,监测和研究天气和气候的站点。,0,0,1,90,0,0
site18,59,天文台,site,观测和研究天体的天文台，有大型望远镜。,0,0,1,100,0,0
site19,60,植物园,site,种植各种植物的园区，提供氧气和食物。,0,0,1,120,0,0
site20,61,动物区,site,饲养各种动物的区域，研究外星生命。,0,0,1,90,0,0
site21,62,工业区,site,进行各种工业生产的区域，有工厂和设备。,0,0,1,150,0,0
site22,63,居住区,site,船员居住的区域，有舒适的宿舍和设施。,0,0,1,120,0,0
